CÔNG TY CP XÂY DỰNG NGÔ QUYỀN ,,,,,,,,,,,,,,,,,,,,
Số 149-Hai Bà Trưng-Lê Chân - HP,,,,,,,,,,,,,,,,,,,,
BẢNG CÂN ĐỐI VẬT TƯ,,,,,,,,,,,,,,,,,,,,
Công trình: Trường mầm non Trại chuối,,,,,,,,,,,,,,,,,,,,
"HM: Kết cấu khối nhà xây mới +Kiến trúc khối nhà xây mới+ Hạ tầng kỹ thuật ngoài nhà +Bể nước ngâm, bể phốt, bể tách mỡ",,,,,,,,,,,,,,,,,,,,
STT,Tên vật tư ,ĐV,Dự Toán,,,Hoá đơn ,,,Còn phải nhập ,,,Số HĐ,,,,,,,,
,,,SL,ĐG,TT,SL,ĐG,TT,SL,ĐG,TT,,,,,,,,,
I,Vật liệu,,,,,,,,,,,,,,,,,,,
52,"Cửa đi 1 cánh mở quay, hệ 55 Xingfa, nhôm chịu lực dày 2mm, kính an toàn 6,38mm, phụ kiện kim khí và lắp dựng",m2,19.8,"2,648,678","  52,443,824 ",,,,  20 ,"  2,648,678 ","  52,443,824 ",,,,,,,,,
53,"Cửa sổ 4 cánh mở quay, nhôm hệ, nhôm chịu lực dày 1,4mm, kính an toàn 6,38mm, phụ kiện kim khí và lắp dựng",m2,34.3,"1,832,843","  62,903,172 ",,,,  34 ,"  1,832,843 ","  62,903,172 ",,,,,,,,,
54,"Cửa sổ 2 cánh mở lùa, nhôm hệ, nhôm chịu lực dày 1,4mm, kính an toàn 6,38mm, phụ kiện kim khí và lắp dựng",m2,30.0,"1,794,079","  53,736,254 ",,,,  30 ,"  1,794,079 ","  53,736,254 ",,,,,,,,,
55,"Cửa sổ 1 cánh mở hất, hệ 55 Xingfa, nhôm chịu lực dày 1,4mm, kính an toàn 6,38mm, phụ kiện kim khí và lắp dựng",m2,8.3,"2,632,615","  21,798,052 ",,,,  8 ,"  2,632,615 ","  21,798,052 ",,,,,,,,,
56,"Vách kính cố định, hệ 55 Xingfa, nhôm chịu lực dày 1,4mm, kính an toàn 6,38mm, phụ kiện kim khí và lắp dựng",m2,95.8,"1,561,502","  149,654,352 ",,,,  96 ,"  1,561,502 ","  149,654,352 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
36,Đá granít tự nhiên len cửa đi dày 20mm,m2,12.7,"950,000","  12,047,805 ",  125 ,"  950,000.00 ","  118,750,000 ",  52 ,"  950,000 ","  49,783,610 ",  47 , Đá xây dựng ,,,,,,,
37,Đá granít tự nhiên mặt bệ dày 20mm,m2,17.0,"950,000","  16,183,440 ",,,,,,,,,,,,,,,
38,Đá granít tự nhiên ốp bồn hoa dày 20mm,m2,7.0,"950,000","  6,674,472 ",,,,,,,,,,,,,,,
39,Đá granít tự nhiên ốp cầu thang dày 20mm,m2,121.0,"950,000","  114,995,790 ",,,,,,,,,,,,,,,
40,Đá granít tự nhiên ốp tam cấp dày 20mm,m2,19.6,"950,000","  18,632,103 ",,,,,,,,,,,,,,,
41,Đá mài,viên,2.8,"11,667","  32,516 ",,,,  3 ,"  11,667 ","  32,516 ",,,,,,,,,
42,Lưới cắt D350,cái,3.2,"484,667","  1,547,445 ",,,,  3 ,"  484,667 ","  1,547,445 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
43,Gạch lát ceramic 600x600mm,m2,561,"  180,212 ","  101,040,843 ",,,,  561 ,"  180,212 ","  101,040,843 ",,,,,,,,,
,"Gạch 600x600, mã 38017 loại 1",Hộp,,,,  776 ,"122,000","  94,672,000 ",,,,  324 ,,,,,,,,
44,Gạch lát ceramic chống trơn 600x600mm,m2,411,"  180,212 ","  74,118,425 ",,,,  411 ,"  180,212 ","  74,118,425 ",,,,,,,,,
,Gạch Granite/Porcelain 600/600 loại 1,Hộp,,,,  794 ,"130,000","  103,220,000 ",,,,  324 ,,,,,,,,
45,Gạch ốp ceramic 300x600mm,m2,464,"  127,076 ","  58,934,779 ",,,,  464 ,"  127,076 ","  58,934,779 ",,,,,,,,,
,"Gạch 300x600, mã 89607 loại 1",Hộp,,,,  322 ,"152,000","  48,944,000 ",,,,  324 ,,,,,,,,
,"Gạch 300x600, mã 89619 loại 1",Hộp,,,,  345 ,"160,000","  55,200,000 ",,,,  324 ,,,,,,,,
46,Gạch ốp ceramic 600x120mm,m2,57,"  180,212 ","  10,357,768 ",,,,  57 ,"  180,212 ","  10,357,768 ",,,,,,,,,
47,Gạch thẻ KT 60x240mm,m2,19,"  120,000 ","  2,247,242 ",,,,  19 ,"  120,000 ","  2,247,242 ",,,,,,,,,
,Gạch ốp tường 6x25 Coto men ghi A1,m2,,,,  36 ,"  92,500.00 ","  3,330,000 ",,,,  30 , Chưa biết cho vào gạch nào trong Dự toán ,,,,,,,
48,Gạch cotto KT 400x400mm,m2,375,"  150,000 ","  56,293,643 ",,,,  375 ,"  150,000 ","  56,293,643 ",,,,,,,,,
49,Gạch terazzo KT 400x400mm,m2,611,"  66,000 ","  40,309,302 ",,,,  611 ,"  66,000 ","  40,309,302 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
46,Sơn tĩnh điện sắt thép các loại ,m3,"3,162.8","8,000","  25,302,400 ",,,,"  3,163 ","  8,000 ","  25,302,400 ",,,,,,,,,
50,Sơn lót nội thất,lít,492.0,"120,000","  59,037,411 ",,,,  492 ,"  120,000 ","  59,037,411 ",,,,,,,,,
51,Sơn lót ngoại thất,lít,166.5,"120,000","  19,985,020 ",,,,  167 ,"  120,000 ","  19,985,020 ",,,,,,,,,
52,Sơn phủ nội thất,lít,765.2,"165,000","  126,262,678 ",,,,  765 ,"  165,000 ","  126,262,678 ",,,1670,,,,,,
53,Sơn phủ ngoại thất,lít,281.7,"185,000","  52,121,844 ",,,,  282 ,"  185,000 ","  52,121,844 ",,,18370,,,,,,
,,,,,,,,,,,,,,,,,,,,
