CÔNG TY CP XÂY DỰNG NGÔ QUYỀN ,,,,,,,,,,,,,,,,,,,,
Số 149-Hai Bà Trưng-Lê Chân - HP,,,,,,,,,,,,,,,,,,,,
BẢNG CÂN ĐỐI VẬT TƯ,,,,,,,,,,,,,,,,,,,,
Công trình: Trường mầm non Trại chuối,,,,,,,,,,,,,,,,,,,,
"HM: Kết cấu khối nhà xây mới +Kiến trúc khối nhà xây mới+ Hạ tầng kỹ thuật ngoài nhà +Bể nước ngâm, bể phốt, bể tách mỡ",,,,,,,,,,,,,,,,,,,,
STT,Tên vật tư ,ĐV,Dự Toán,,,Hoá đơn ,,,Còn phải nhập ,,,Số HĐ,,,,,,,,
,,,SL,ĐG,TT,SL,ĐG,TT,SL,ĐG,TT,,,,,,,,,
I,Vật liệu,,,,,,,,,,,,,,,,,,,
13,BU D40mm, cái ,  0.024 ,"  88,200 ","  2,073 ",,,,  0.02 ,"  88,200 ","  2,073 ",,,,,,,,,
14,BU D65mm, cái ,  0.028 ,"  126,000 ","  3,465 ",,,,  0.03 ,"  126,000 ","  3,465 ",,,,,,,,,
15,BU D75mm, cái ,  0.010 ,"  141,750 ","  1,418 ",,,,  0.01 ,"  141,750 ","  1,418 ",,,,,,,,,
16,Bu lông M16, bộ ,  16.000 ,"  4,583 ","  73,328 ",,,,  16.00 ,"  4,583 ","  73,328 ",,,,,,,,,
17,Bu lông M16-M20, bộ ,  32.000 ,"  5,917 ","  189,344 ",,,,  32.00 ,"  5,917 ","  189,344 ",,,,,,,,,
18,Bu lông M16-M20, cái ,  4.000 ,"  7,100 ","  28,400 ",,,,  4.00 ,"  7,100 ","  28,400 ",,,,,,,,,
19,Cao su tấm, m2 ,  0.090 ,"  50,000 ","  4,500 ",,,,  0.09 ,"  50,000 ","  4,500 ",,,,,,,,,
20,Cầu thu mưa DN100, cái ,  10.000 ,"  180,000 ","  1,800,000 ",,,,  10.00 ,"  180,000 ","  1,800,000 ",,,,,,,,,
21,Clor bột, gam ,  332.500 ,  50 ,"  16,625 ",,,,  332.50 ,  50 ,"  16,625 ",,,,,,,,,
22,Con thỏ uPVC D75, cái ,  32.000 ,"  23,200 ","  742,400 ",,,,  32.00 ,"  23,200 ","  742,400 ",,,,,,,,,
23,Cồn công nghiệp, kg ,  0.400 ,"  21,000 ","  8,400 ",,,,  0.40 ,"  21,000 ","  8,400 ",,,,,,,,,
24,Cồn rửa, kg ,  42.655 ,"  30,000 ","  1,279,644 ",,,,  42.65 ,"  30,000 ","  1,279,644 ",,,,,,,,,
25,Côn thu nhựa PPR D25/20 PN20, cái ,  40.000 ,"  4,545 ","  181,800 ",,,,  40.00 ,"  4,545 ","  181,800 ",,,,,,,,,
26,Côn thu nhựa PPR D32/25 PN20, cái ,  24.000 ,"  6,455 ","  154,920 ",,,,  24.00 ,"  6,455 ","  154,920 ",,,,,,,,,
27,Côn thu nhựa PPR D40/32 PN20, cái ,  8.000 ,"  10,000 ","  80,000 ",,,,  8.00 ,"  10,000 ","  80,000 ",,,,,,,,,
28,Côn thu nhựa PPR D50/40 PN20, cái ,  3.000 ,"  18,000 ","  54,000 ",,,,  3.00 ,"  18,000 ","  54,000 ",,,,,,,,,
29,Côn thu nhựa PPR D63/50 PN20, cái ,  1.000 ,"  34,818 ","  34,818 ",,,,  1.00 ,"  34,818 ","  34,818 ",,,,,,,,,
30,Côn thu nhựa PPR D75/63 PN20, cái ,  2.000 ,"  64,818 ","  129,636 ",,,,  2.00 ,"  64,818 ","  129,636 ",,,,,,,,,
31,Côn thu uPVC D110/90 PN8, cái ,  3.000 ,"  20,900 ","  62,700 ",,,,  3.00 ,"  20,900 ","  62,700 ",,,,,,,,,
32,Côn thu uPVC D76/42 PN8, cái ,  32.000 ,"  9,200 ","  294,400 ",,,,  32.00 ,"  9,200 ","  294,400 ",,,,,,,,,
33,Côn thu uPVC D76/60 PN8, cái ,  16.000 ,"  9,700 ","  155,200 ",,,,  16.00 ,"  9,700 ","  155,200 ",,,,,,,,,
34,Côn thu uPVC D90/75 PN8, cái ,  3.000 ,"  14,300 ","  42,900 ",,,,  3.00 ,"  14,300 ","  42,900 ",,,,,,,,,
35,Cụm đồng hồ nước DN32 và hộp bảo vệ, cái ,  1.000 ,"  400,000 ","  400,000 ",,,,  1.00 ,"  400,000 ","  400,000 ",,,,,,,,,
36,Cút, cái ,  48.000 ,"  6,500 ","  312,000 ",,,,  48.00 ,"  6,500 ","  312,000 ",,,,,,,,,
37,Cút PPR D20 PN20, cái ,  280.000 ,"  5,545 ","  1,552,600 ",,,,  280.00 ,"  5,545 ","  1,552,600 ",,,,,,,,,
38,Cút PPR D25 PN20, cái ,  10.000 ,"  7,364 ","  73,640 ",,,,  10.00 ,"  7,364 ","  73,640 ",,,,,,,,,
39,Cút PPR D32 PN20, cái ,  8.000 ,"  12,909 ","  103,272 ",,,,  8.00 ,"  12,909 ","  103,272 ",,,,,,,,,
40,Cút PPR D40 PN20, cái ,  12.000 ,"  20,909 ","  250,908 ",,,,  12.00 ,"  20,909 ","  250,908 ",,,,,,,,,
41,Cút PPR D63 PN20, cái ,  20.000 ,"  33,273 ","  665,460 ",,,,  20.00 ,"  33,273 ","  665,460 ",,,,,,,,,
42,Cút PPR D75 PN20, cái ,  8.000 ,"  58,091 ","  464,728 ",,,,  8.00 ,"  58,091 ","  464,728 ",,,,,,,,,
43,"Cút ren trong PPR PN20 D20x1/2""", cái ,  160.000 ,"  40,182 ","  6,429,120 ",,,,  160.00 ,"  40,182 ","  6,429,120 ",,,,,,,,,
44,Cút uPVC D42 PN8, cái ,  48.000 ,"  10,800 ","  518,400 ",,,,  48.00 ,"  10,800 ","  518,400 ",,,,,,,,,
45,Cút uPVC D60 PN8, cái ,  40.000 ,"  5,909 ","  236,360 ",,,,  40.00 ,"  5,909 ","  236,360 ",,,,,,,,,
46,Chậu rửa lavabo âm (Viglacera CD1 hoặc tương đương), bộ ,  32.000 ,"  960,000 ","  30,720,000 ",,,,  32.00 ,"  960,000 ","  30,720,000 ",,,,,,,,,
47,Chậu tiểu nam (Viglacera TT1 hoặc tương đương), bộ ,  16.000 ,"  550,000 ","  8,800,000 ",,,,  16.00 ,"  550,000 ","  8,800,000 ",,,,,,,,,
48,Chậu xí bệt trẻ em (Viglacera BTE hoặc tương đương), bộ ,  48.000 ,"  2,890,000 ","  138,720,000 ",,,,  48.00 ,"  2,890,000 ","  138,720,000 ",,,,,,,,,
49,Chếch uPVC D110 PN8, cái ,  188.000 ,"  59,800 ","  11,242,400 ",,,,  188.00 ,"  59,800 ","  11,242,400 ",,,,,,,,,
50,Chếch uPVC D75 PN8, cái ,  208.000 ,"  17,500 ","  3,640,000 ",,,,  208.00 ,"  17,500 ","  3,640,000 ",,,,,,,,,
51,Chếch uPVC D90 PN8, cái ,  20.000 ,"  31,800 ","  636,000 ",,,,  20.00 ,"  31,800 ","  636,000 ",,,,,,,,,
52,Chụp thông hơi lên mái D60, cái ,  1.000 ,"  85,000 ","  85,000 ",,,,  1.00 ,"  85,000 ","  85,000 ",,,,,,,,,
53,Chụp thông hơi lên mái D90, cái ,  3.000 ,"  120,000 ","  360,000 ",,,,  3.00 ,"  120,000 ","  360,000 ",,,,,,,,,
54,Gương soi KT 1300x750mm, cái ,  16.000 ,"  1,989,000 ","  31,824,000 ",,,,  16.00 ,"  1,989,000 ","  31,824,000 ",,,,,,,,,
55,Keo dán, kg ,  12.275 ,"  118,000 ","  1,448,450 ",,,,  12.28 ,"  118,000 ","  1,448,450 ",,,,,,,,,
56,Măng sông nối ống uPVC D110, cái ,  40.000 ,"  59,800 ","  2,392,000 ",,,,  40.00 ,"  59,800 ","  2,392,000 ",,,,,,,,,
57,Măng sông nối ống uPVC D60, cái ,  15.000 ,"  6,900 ","  103,500 ",,,,  15.00 ,"  6,900 ","  103,500 ",,,,,,,,,
58,Măng sông nối ống uPVC D75, cái ,  10.000 ,"  9,400 ","  94,000 ",,,,  10.00 ,"  9,400 ","  94,000 ",,,,,,,,,
59,Măng sông nối ống uPVC D90, cái ,  4.000 ,"  12,800 ","  51,200 ",,,,  4.00 ,"  12,800 ","  51,200 ",,,,,,,,,
60,Măng sông PPR D20, cái ,  60.000 ,"  2,909 ","  174,540 ",,,,  60.00 ,"  2,909 ","  174,540 ",,,,,,,,,
61,Măng sông PPR D25, cái ,  10.000 ,"  4,909 ","  49,090 ",,,,  10.00 ,"  4,909 ","  49,090 ",,,,,,,,,
62,Măng sông PPR D32, cái ,  10.000 ,"  7,636 ","  76,360 ",,,,  10.00 ,"  7,636 ","  76,360 ",,,,,,,,,
63,Măng sông PPR D40, cái ,  10.000 ,"  12,459 ","  124,590 ",,,,  10.00 ,"  12,459 ","  124,590 ",,,,,,,,,
64,Măng sông PPR D63, cái ,  6.000 ,"  43,727 ","  262,362 ",,,,  6.00 ,"  43,727 ","  262,362 ",,,28,,,,,,
65,Măng sông PPR D75, cái ,  2.000 ,"  73,273 ","  146,546 ",,,,  2.00 ,"  73,273 ","  146,546 ",,,28,,,,,,
66,Mối nối mềm D50mm, cái ,  8.000 ,"  45,000 ","  360,000 ",,,,  8.00 ,"  45,000 ","  360,000 ",,,,,,,,,
67,Nước, lít ,"  5,450.875 ",  12 ,"  65,410 ",,,,"  5,450.87 ",  12 ,"  65,410 ",,,,,,,,,
68,Nước sạch, m3 ,  6.650 ,"  12,000 ","  79,800 ",,,,  6.65 ,"  12,000 ","  79,800 ",,,,,,,,,
69,Nhựa dán, kg ,  1.668 ,"  86,000 ","  143,482 ",,,,  1.67 ,"  86,000 ","  143,482 ",,,,,,,,,
70,ống mềm, m ,  1.750 ,"  140,000 ","  245,000 ",,,,  1.75 ,"  140,000 ","  245,000 ",,,,,,,,,
71,Ống nhựa PPR D20 PN10, m ,  321.600 ,"  22,182 ","  7,133,731 ",,,,  321.60 ,"  22,182 ","  7,133,731 ",,,,,,,,,
72,Ống nhựa PPR D20 PN20, m ,  170.850 ,"  27,455 ","  4,690,687 ",,,,  170.85 ,"  27,455 ","  4,690,687 ",,,,,,,,,
73,Ống nhựa PPR D25 PN10, m ,  64.320 ,"  39,636 ","  2,549,388 ",,,,  64.32 ,"  39,636 ","  2,549,388 ",,,,,,,,,
74,Ống nhựa PPR D32 PN10, m ,  24.120 ,"  51,364 ","  1,238,900 ",,,,  24.12 ,"  51,364 ","  1,238,900 ",,,,,,,,,
75,Ống nhựa PPR D40 PN10, m ,  47.235 ,"  68,909 ","  3,254,917 ",,,,  47.24 ,"  68,909 ","  3,254,917 ",,,,,,,,,
76,Ống nhựa PPR D63 PN10, m ,  55.275 ,"  160,545 ","  8,874,125 ",,,,  55.28 ,"  160,545 ","  8,874,125 ",,,,,,,,,
77,Ống nhựa PPR D75 PN10, m ,  20.100 ,"  223,273 ","  4,487,787 ",,,,  20.10 ,"  223,273 ","  4,487,787 ",,,,,,,,,
78,Ống sắt tráng kẽm d=20, m ,  1.225 ,"  19,621 ","  24,036 ",,,,  1.23 ,"  19,621 ","  24,036 ",,,,,,,,,
79,Ống sắt tráng kẽm d=25, m ,  0.160 ,"  25,000 ","  4,000 ",,,,  0.16 ,"  25,000 ","  4,000 ",,,,,,,,,
80,Ống sắt tráng kẽm d=32, m ,  0.060 ,"  31,894 ","  1,914 ",,,,  0.06 ,"  31,894 ","  1,914 ",,,,,,,,,
81,Ống sắt tráng kẽm d=40, m ,  0.118 ,"  40,530 ","  4,762 ",,,,  0.12 ,"  40,530 ","  4,762 ",,,,,,,,,
82,Ống sắt tráng kẽm d=65, m ,  0.138 ,"  62,437 ","  8,585 ",,,,  0.14 ,"  62,437 ","  8,585 ",,,,,,,,,
83,Ống sắt tráng kẽm d=75, m ,  0.050 ,"  89,697 ","  4,485 ",,,,  0.05 ,"  89,697 ","  4,485 ",,,,,,,,,
84,Ống uPVC D110 PN8, m ,  199.980 ,"  124,800 ","  24,957,504 ",,,,  199.98 ,"  124,800 ","  24,957,504 ",,,,,,,,,
85,Ống uPVC D160 PN8, m ,  36.360 ,"  238,900 ","  8,686,404 ",,,,  36.36 ,"  238,900 ","  8,686,404 ",,,,,,,,,
86,Ống uPVC D250 PN8, m ,  8.080 ,"  602,700 ","  4,869,816 ",,,,  8.08 ,"  602,700 ","  4,869,816 ",,,,,,,,,
87,Ống uPVC D42 PN8, m ,  12.120 ,"  19,900 ","  241,188 ",,,,  12.12 ,"  19,900 ","  241,188 ",,,,,,,,,
88,Ống uPVC D60 PN8, m ,  105.040 ,"  39,000 ","  4,096,560 ",,,,  105.04 ,"  39,000 ","  4,096,560 ",,,,,,,,,
89,Ống uPVC D75 PN8, m ,  113.120 ,"  55,500 ","  6,278,160 ",,,,  113.12 ,"  55,500 ","  6,278,160 ",,,,,,,,,
90,Ống uPVC D90 PN8, m ,  36.360 ,"  79,700 ","  2,897,892 ",,,,  36.36 ,"  79,700 ","  2,897,892 ",,,,,,,,,
91,Phễu thu nước mưa DN50, cái ,  8.000 ,"  50,000 ","  400,000 ",,,,  8.00 ,"  50,000 ","  400,000 ",,,,,,,,,
92,Phễu thu sàn DN50, cái ,  32.000 ,"  50,000 ","  1,600,000 ",,,,  32.00 ,"  50,000 ","  1,600,000 ",,,,,,,,,
93,Rọ hút DN50, cái ,  1.000 ,"  15,000 ","  15,000 ",,,,  1.00 ,"  15,000 ","  15,000 ",,,,,,,,,
94,Tê thu nhựa PPR D20 PN20, cái ,  40.000 ,"  6,455 ","  258,200 ",,,,  40.00 ,"  6,455 ","  258,200 ",,,,,,,,,
95,Tê thu nhựa PPR D25 PN20, cái ,  12.000 ,"  6,455 ","  77,460 ",,,,  12.00 ,"  6,455 ","  77,460 ",,,,,,,,,
96,Tê thu nhựa PPR D25/20 PN20, cái ,  80.000 ,"  10,000 ","  800,000 ",,,,  80.00 ,"  10,000 ","  800,000 ",,,,,,,,,
97,Tê thu nhựa PPR D32 PN20, cái ,  8.000 ,"  16,455 ","  131,640 ",,,,  8.00 ,"  16,455 ","  131,640 ",,,,,,,,,
98,Tê thu nhựa PPR D32/20 PN20, cái ,  16.000 ,"  17,636 ","  282,176 ",,,,  16.00 ,"  17,636 ","  282,176 ",,,,,,,,,
99,Tê thu nhựa PPR D32/25 PN20, cái ,  8.000 ,"  17,636 ","  141,088 ",,,,  8.00 ,"  17,636 ","  141,088 ",,,,,,,,,
100,Tê thu nhựa PPR D40 PN20, cái ,  16.000 ,"  25,636 ","  410,176 ",,,,  16.00 ,"  25,636 ","  410,176 ",,,,,,,,,
101,Tê thu nhựa PPR D40/32 PN20, cái ,  8.000 ,"  38,727 ","  309,816 ",,,,  8.00 ,"  38,727 ","  309,816 ",,,,,,,,,
102,Tê thu nhựa PPR D50 PN20, cái ,  4.000 ,"  50,364 ","  201,456 ",,,,  4.00 ,"  50,364 ","  201,456 ",,,,,,,,,
103,Tê thu nhựa PPR D50/40 PN20, cái ,  4.000 ,"  68,000 ","  272,000 ",,,,  4.00 ,"  68,000 ","  272,000 ",,,,,,,,,
104,Tê thu nhựa PPR D63 PN20, cái ,  8.000 ,"  126,364 ","  1,010,912 ",,,,  8.00 ,"  126,364 ","  1,010,912 ",,,,,,,,,
105,Tê thu nhựa PPR D63/40 PN20, cái ,  2.000 ,"  119,455 ","  238,910 ",,,,  2.00 ,"  119,455 ","  238,910 ",,,,,,,,,
106,Tê thu nhựa PPR D75 PN20, cái ,  6.000 ,"  189,727 ","  1,138,362 ",,,,  6.00 ,"  189,727 ","  1,138,362 ",,,,,,,,,
107,Tê thu nhựa PPR D75/50 PN20, cái ,  2.000 ,"  175,727 ","  351,454 ",,,,  2.00 ,"  175,727 ","  351,454 ",,,,,,,,,
108,Tê thu nhựa PPR D75/63 PN20, cái ,  1.000 ,"  163,455 ","  163,455 ",,,,  1.00 ,"  163,455 ","  163,455 ",,,,,,,,,
109,Tê uPVC D110, cái ,  2.000 ,"  87,400 ","  174,800 ",,,,  2.00 ,"  87,400 ","  174,800 ",,,,,,,,,
110,Tê uPVC D110/60, cái ,  8.000 ,"  69,000 ","  552,000 ",,,,  8.00 ,"  69,000 ","  552,000 ",,,,,,,,,
111,Tê uPVC D60, cái ,  20.000 ,"  15,800 ","  316,000 ",,,,  20.00 ,"  15,800 ","  316,000 ",,,,,,,,,
112,Tê uPVC D75/60, cái ,  16.000 ,"  23,700 ","  379,200 ",,,,  16.00 ,"  23,700 ","  379,200 ",,,,,,,,,
113,Thông tắc trần uPVC D110, cái ,  8.000 ,"  27,636 ","  221,088 ",,,,  8.00 ,"  27,636 ","  221,088 ",,,,,,,,,
114,Thông tắc trần uPVC D75, cái ,  24.000 ,"  10,909 ","  261,816 ",,,,  24.00 ,"  10,909 ","  261,816 ",,,,,,,,,
115,Van 1 chiều D20mm, cái ,  0.245 ,"  190,000 ","  46,550 ",,,,  0.25 ,"  190,000 ","  46,550 ",,,,,,,,,
116,Van 1 chiều D25mm, cái ,  0.032 ,"  218,545 ","  6,993 ",,,,  0.03 ,"  218,545 ","  6,993 ",,,,,,,,,
117,Van 1 chiều D32mm, cái ,  0.012 ,"  313,545 ","  3,763 ",,,,  0.01 ,"  313,545 ","  3,763 ",,,,,,,,,
118,Van 1 chiều D40mm, cái ,  0.024 ,"  527,727 ","  12,402 ",,,,  0.02 ,"  527,727 ","  12,402 ",,,,,,,,,
119,Van 1 chiều D65mm, cái ,  0.028 ,"  472,333 ","  12,989 ",,,,  0.03 ,"  472,333 ","  12,989 ",,,,,,,,,
120,Van 1 chiều D75mm, cái ,  0.010 ,"  554,450 ","  5,545 ",,,,  0.01 ,"  554,450 ","  5,545 ",,,,,,,,,
121,Van 1 chiều DN50, cái ,  5.000 ,"  154,545 ","  772,725 ",,,,  5.00 ,"  154,545 ","  772,725 ",,,,,,,,,
122,Van góc inox Dn15 PN10, cái ,  112.000 ,"  75,600 ","  8,467,200 ",,,,  112.00 ,"  75,600 ","  8,467,200 ",,,,,,,,,
123,Van khoá DN65, cái ,  4.000 ,"  75,600 ","  302,400 ",,,,  4.00 ,"  75,600 ","  302,400 ",,,,,,,,,
124,Van khóa PPR D32 PN20, cái ,  17.000 ,"  81,818 ","  1,390,906 ",,,,  17.00 ,"  81,818 ","  1,390,906 ",,,,,,,,,
125,Van khóa PPR D40 PN20, cái ,  1.000 ,"  109,091 ","  109,091 ",,,,  1.00 ,"  109,091 ","  109,091 ",,,,,,,,,
126,Van khóa PPR D63 PN20, cái ,  13.000 ,"  309,091 ","  4,018,183 ",,,,  13.00 ,"  309,091 ","  4,018,183 ",,,,,,,,,
127,Van khóa uPVC D42 (ống xả đáy két nước), cái ,  3.000 ,"  154,545 ","  463,635 ",,,,  3.00 ,"  154,545 ","  463,635 ",,,,,,,,,
128,Van phao cơ DN40, cái ,  1.000 ,"  109,091 ","  109,091 ",,,,  1.00 ,"  109,091 ","  109,091 ",,,,,,,,,
129,Van phao cơ DN50, cái ,  3.000 ,"  154,545 ","  463,635 ",,,,  3.00 ,"  154,545 ","  463,635 ",,,,,,,,,
130,Van xả khí D40, cái ,  0.350 ,"  844,000 ","  295,400 ",,,,  0.35 ,"  844,000 ","  295,400 ",,,,,,,,,
131,Van xả tiểu nam (Viglacera VG845 hoặc tương đương), bộ ,  16.000 ,"  1,040,000 ","  16,640,000 ",,,,  16.00 ,"  1,040,000 ","  16,640,000 ",,,,,,,,,
132,Vòi lavabo (Viglacera VG102 hoặc tương đương), bộ ,  32.000 ,"  1,150,000 ","  36,800,000 ",,,,  32.00 ,"  1,150,000 ","  36,800,000 ",,,,,,,,,
133,Vòi rửa vệ sinh (Viglacera VG826 hoặc tương đương), cái ,  48.000 ,"  240,000 ","  11,520,000 ",,,,  48.00 ,"  240,000 ","  11,520,000 ",,,,,,,,,
134,"Vòi tắm hương sen 1 vòi, 1 hương sen (Viglacera VG502 hoặc tương đương)", bộ ,  16.000 ,"  1,800,000 ","  28,800,000 ",,,,  16.00 ,"  1,800,000 ","  28,800,000 ",,,,,,,,,
135,Y lọc D50, cái ,  4.000 ,"  250,000 ","  1,000,000 ",,,,  4.00 ,"  250,000 ","  1,000,000 ",,,,,,,,,
136,Y nhựa uPVC D110/110 PN8, cái ,  48.000 ,"  69,300 ","  3,326,400 ",,,,  48.00 ,"  69,300 ","  3,326,400 ",,,,,,,,,
137,Y nhựa uPVC D110/75 PN8, cái ,  8.000 ,"  61,800 ","  494,400 ",,,,  8.00 ,"  61,800 ","  494,400 ",,,,,,,,,
138,Y nhựa uPVC D110/90 PN8, cái ,  1.000 ,"  65,600 ","  65,600 ",,,,  1.00 ,"  65,600 ","  65,600 ",,,,,,,,,
139,Y nhựa uPVC D75/75 PN8, cái ,  96.000 ,"  47,000 ","  4,512,000 ",,,,  96.00 ,"  47,000 ","  4,512,000 ",,,,,,,,,
140,Y nhựa uPVC D90/75 PN8, cái ,  12.000 ,"  44,700 ","  536,400 ",,,,  12.00 ,"  44,700 ","  536,400 ",,,,,,,,,
141,Y nhựa uPVC D90/90 PN8, cái ,  3.000 ,"  45,900 ","  137,700 ",,,,  3.00 ,"  45,900 ","  137,700 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Cộng VL,,,,"  522,280,053 ",  -   ,  -   ,  -   ,,,"  522,280,053 ",,,,,,,,,
,Nhân công,,,,,,,,,,,,Nhân công+máy chuyển sang bảng tổng các HM,,,,,,,
,Máy,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,VL thiếu,"  3,309,526,716 ",,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,bang vat tu,"4,464,590,631",,,,,,,,,,,,
,,,,,,,Giá thành,#REF!,,,,,,,,,,,,
,,,,,,,Chênh,#REF!,,,,,,,,,,,,
